constituency,ac_number,candidate,party,votes,turnout,reserved,region
Palladam,115,V.MOHANRAJ,IND,407,91.34,GEN,Kongu
Palladam,115,A. RAMESH,IND,364,91.34,GEN,Kongu
Palladam,115,A.ANNADURAI,IND,346,91.34,GEN,Kongu
Palladam,115,S.DHARMARAJ,Tamilaga Makkal Nala Katchi,327,91.34,GEN,Kongu
Palladam,115,ANNADURAI.R,IND,285,91.34,GEN,Kongu
Palladam,115,S.ARUMUGAM,IND,274,91.34,GEN,Kongu
Palladam,115,K.SAKTHIVEL,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,184,91.34,GEN,Kongu
Palladam,115,G.SELVARAJ,IND,163,91.34,GEN,Kongu
Palladam,115,M. SELVARAJ,IND,123,91.34,GEN,Kongu
Palladam,115,A.SARAVANAN,IND,83,91.34,GEN,Kongu
Sulur,116,NM.SUKUMAR,TVK,90531,88.96,GEN,Kongu
Sulur,116,V.P.KANDASAMY,AIADMK,85741,88.96,GEN,Kongu
Sulur,116,THALAPATHY MURUGESAN,DMK,83654,88.96,GEN,Kongu
Sulur,116,DR.S.RAJASEKARAN,NTK,10147,88.96,GEN,Kongu
Sulur,116,NOTA,NOTA,1353,88.96,GEN,Kongu
Sulur,116,MURUGESH.R.,IND,437,88.96,GEN,Kongu
Sulur,116,KANTHASAMY.K.,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,283,88.96,GEN,Kongu
Sulur,116,KANDASAMY.R.,IND,271,88.96,GEN,Kongu
Sulur,116,PAPPA MUTHULAKSHMI.P.,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,216,88.96,GEN,Kongu
Sulur,116,SUMAN SINGH.R.,Tamizhaga Vaazhvurimai Katchi,205,88.96,GEN,Kongu
Sulur,116,PALANISAMY.M.,Party for the Rights of Other backward Classes,156,88.96,GEN,Kongu
Sulur,116,MURUGESAN.N.,IND,139,88.96,GEN,Kongu
Sulur,116,NAGARAJ.K.,Ganasangam Party of India,137,88.96,GEN,Kongu
Sulur,116,KANDASAMY.A.,IND,109,88.96,GEN,Kongu
Sulur,116,KANDASAMY.V.,IND,90,88.96,GEN,Kongu
Sulur,116,NELSON.W.,Tamilaga Makkal Nala Katchi,75,88.96,GEN,Kongu
Kavundampalayam,117,KANIMOZHI SANTHOSH,TVK,146466,86.26,GEN,Kongu
Kavundampalayam,117,ARUNKUMAR PRG,AIADMK,104326,86.26,GEN,Kongu
Kavundampalayam,117,SURYA PRAKASH K.P,INC,90726,86.26,GEN,Kongu
Kavundampalayam,117,KALAMANI JAGANATHAN,NTK,16834,86.26,GEN,Kongu
Kavundampalayam,117,NOTA,NOTA,2116,86.26,GEN,Kongu
Kavundampalayam,117,KANIMOZHI.K,IND,567,86.26,GEN,Kongu
Kavundampalayam,117,K.VELMURUGAN,Bahujan Samaj Party,524,86.26,GEN,Kongu
Kavundampalayam,117,THOZHAR.N.ARUNKUMAR,Tamizhaga Vaazhvurimai Katchi,424,86.26,GEN,Kongu
Kavundampalayam,117,S.THAMARAI KANNAN,Party for the Rights of Other backward Classes,356,86.26,GEN,Kongu
Kavundampalayam,117,A.BALAMURUGAN,IND,340,86.26,GEN,Kongu
Kavundampalayam,117,M.RAJALINGAM,IND,338,86.26,GEN,Kongu
Kavundampalayam,117,MALLIGA.M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,314,86.26,GEN,Kongu
Kavundampalayam,117,M.JOHN BOSCO,IND,306,86.26,GEN,Kongu
Kavundampalayam,117,SURIYAKUMAR.K,IND,235,86.26,GEN,Kongu
Kavundampalayam,117,V.PUSHPANANTHAM,Tamizhaga Murpokku Makkal Katchi,119,86.26,GEN,Kongu
Coimbatore (North),118,V. SAMPATHKUMAR,TVK,92500,76.19,GEN,Kongu
Coimbatore (North),118,DURAI. SENTHAMIL SELVAN B.E,DMK,70508,76.19,GEN,Kongu
Coimbatore (North),118,VANATHI SRINIVASAN,BJP,49722,76.19,GEN,Kongu
Coimbatore (North),118,NARMADHA. G.,NTK,9036,76.19,GEN,Kongu
Coimbatore (North),118,NOTA,NOTA,1020,76.19,GEN,Kongu
Coimbatore (North),118,P. KRISHNASAMY,Bahujan Samaj Party,383,76.19,GEN,Kongu
Coimbatore (North),118,A.K. SENTHAMIZH SELVAN,IND,351,76.19,GEN,Kongu
Coimbatore (North),118,K. UDHAYAKUMAR,Thamizhaka Padaippalar Makkal Katchi,327,76.19,GEN,Kongu
Coimbatore (North),118,R. SAMPATH KUMAR,IND,310,76.19,GEN,Kongu
Coimbatore (North),118,BALU. P.M.,IND,276,76.19,GEN,Kongu
Coimbatore (North),118,PALANIKUMAR. V.,IND,152,76.19,GEN,Kongu
Coimbatore (North),118,S. SAMPATHKUMAR,IND,134,76.19,GEN,Kongu
Coimbatore (North),118,S. SENTHILKUMAR,Samaniya Makkal Nala Katchi,121,76.19,GEN,Kongu
Coimbatore (North),118,P. SARAVANAN,IND,121,76.19,GEN,Kongu
Coimbatore (North),118,V. KRISHNAN,IND,118,76.19,GEN,Kongu
Coimbatore (North),118,K. RAGHUL GANDHI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,112,76.19,GEN,Kongu
Coimbatore (North),118,G.D. KRISHNAKUMAR,IND,104,76.19,GEN,Kongu
Coimbatore (North),118,RAJASEKARAN. B.,Tamizhaga Vaazhvurimai Katchi,96,76.19,GEN,Kongu
Coimbatore (North),118,RAVI. V,IND,95,76.19,GEN,Kongu
Coimbatore (North),118,R. MANIAN,IND,89,76.19,GEN,Kongu
Coimbatore (North),118,S. DHANA RAJ,IND,87,76.19,GEN,Kongu
Coimbatore (North),118,S. MEENAKSHI SUNDARAM,Tamizhaga Murpokku Makkal Katchi,75,76.19,GEN,Kongu
Coimbatore (North),118,K. SAMPATH KUMAR,IND,71,76.19,GEN,Kongu
Coimbatore (North),118,V. LINGARAJA,IND,65,76.19,GEN,Kongu
Coimbatore (North),118,R. SETHURAGUNATHAN,IND,60,76.19,GEN,Kongu
Coimbatore (North),118,R. SATHISH KUMAR,IND,54,76.19,GEN,Kongu
Coimbatore (North),118,A. MARIMUTHU,IND,54,76.19,GEN,Kongu
Coimbatore (North),118,G. RAJKUMAR,IND,42,76.19,GEN,Kongu
Coimbatore (North),118,A. RAMESH,IND,26,76.19,GEN,Kongu
Thondamuthur,119,S.P.VELUMANI,AIADMK,93316,88.22,GEN,Kongu
Thondamuthur,119,SATHISH RAJU (ALIAS) K.P.R. SATHISH,TVK,78591,88.22,GEN,Kongu
Thondamuthur,119,N.R.KARTHIKEYAN,DMK,75917,88.22,GEN,Kongu
Thondamuthur,119,RAJABU NISHA.Z,NTK,6976,88.22,GEN,Kongu
Thondamuthur,119,NOTA,NOTA,1000,88.22,GEN,Kongu
Thondamuthur,119,RAFEEQ.A.M.,IND,317,88.22,GEN,Kongu
Thondamuthur,119,BALAMANI.V,IND,304,88.22,GEN,Kongu
Thondamuthur,119,NIRMALKUMAR.R,IND,258,88.22,GEN,Kongu
Thondamuthur,119,KARTHIKEYAN.R-POOLUVAPATTI,IND,241,88.22,GEN,Kongu
Thondamuthur,119,SHAJAHAN.S,Tamizhaga Vaazhvurimai Katchi,215,88.22,GEN,Kongu
Thondamuthur,119,DEEPA.G.S,IND,195,88.22,GEN,Kongu
Thondamuthur,119,SIVARAMAN.C,IND,185,88.22,GEN,Kongu
Thondamuthur,119,VIJAYA.K,IND,183,88.22,GEN,Kongu
Thondamuthur,119,MANOKARAN.K,IND,142,88.22,GEN,Kongu
Thondamuthur,119,KALAIVANI.S,IND,125,88.22,GEN,Kongu
Thondamuthur,119,KARTHIKEYAN.R-THONDAMUTHUR,IND,108,88.22,GEN,Kongu
Thondamuthur,119,ARULKUMAR.P,IND,104,88.22,GEN,Kongu
Thondamuthur,119,DEVADASS.K,IND,99,88.22,GEN,Kongu
Thondamuthur,119,KARTHIKEYAN.M,IND,90,88.22,GEN,Kongu
Thondamuthur,119,KOWSALYA.V,IND,77,88.22,GEN,Kongu
Thondamuthur,119,KARTHIKEYAN.R,IND,54,88.22,GEN,Kongu
Thondamuthur,119,VISWANATHAN.M,IND,52,88.22,GEN,Kongu
Coimbatore (South),120,V SENTHILBALAJI,DMK,59724,82.95,GEN,Kongu
Coimbatore (South),120,V. SENTHILKUMAR,TVK,57453,82.95,GEN,Kongu
Coimbatore (South),120,AMMAN K.ARJUNAN,AIADMK,31689,82.95,GEN,Kongu
Coimbatore (South),120,PERARIVALAN. V,NTK,5062,82.95,GEN,Kongu
Coimbatore (South),120,NOTA,NOTA,759,82.95,GEN,Kongu
Coimbatore (South),120,J. PRAVEENKUMAR,IND,170,82.95,GEN,Kongu
Coimbatore (South),120,GOKULA KRISHNAN.S,Tamizhaga Vaazhvurimai Katchi,158,82.95,GEN,Kongu
Coimbatore (South),120,M. SENTHILKUMAR,IND,158,82.95,GEN,Kongu
Coimbatore (South),120,B. DHANDAPANI,New Generation People's Party,157,82.95,GEN,Kongu
Coimbatore (South),120,P. PALANIVEL,IND,154,82.95,GEN,Kongu
Coimbatore (South),120,K. DINESH KUMAR,IND,117,82.95,GEN,Kongu
Coimbatore (South),120,B. YUVARAJ,IND,105,82.95,GEN,Kongu
Coimbatore (South),120,V. SENTHILKUMAR,IND,92,82.95,GEN,Kongu
Coimbatore (South),120,S. RANGARAJ,IND,67,82.95,GEN,Kongu
Coimbatore (South),120,IMTHIYAS,IND,65,82.95,GEN,Kongu
Coimbatore (South),120,V. VELMURUGAN,IND,48,82.95,GEN,Kongu
Coimbatore (South),120,VENKATACHALAM PARAMASIVAM,IND,43,82.95,GEN,Kongu
Coimbatore (South),120,T. MAGIZHAN,IND,40,82.95,GEN,Kongu
Coimbatore (South),120,K. RAJAPANDIAN,IND,40,82.95,GEN,Kongu
Coimbatore (South),120,L. HAKKIM,IND,38,82.95,GEN,Kongu
Coimbatore (South),120,J. SURIYAKUMAR,IND,37,82.95,GEN,Kongu
Coimbatore (South),120,G. MAHESHWARAN,Tamizhaga Murpokku Makkal Katchi,36,82.95,GEN,Kongu
Coimbatore (South),120,P. SANGARARAJ,IND,36,82.95,GEN,Kongu
Coimbatore (South),120,M. JOHN BOSCO,IND,33,82.95,GEN,Kongu
Coimbatore (South),120,D. VIGNESHWARAN,IND,32,82.95,GEN,Kongu
Coimbatore (South),120,K. VIJAYAN,IND,32,82.95,GEN,Kongu
Coimbatore (South),120,N. ABILAZAN,IND,31,82.95,GEN,Kongu
Coimbatore (South),120,P. MANOJ,IND,28,82.95,GEN,Kongu
Coimbatore (South),120,K.S. RAJAGOPAL,IND,27,82.95,GEN,Kongu
Coimbatore (South),120,GOPALAKRISHNAN,IND,24,82.95,GEN,Kongu
Coimbatore (South),120,P. KATHIRAVAN,IND,23,82.95,GEN,Kongu
Coimbatore (South),120,M. RAVICHANDRAN,IND,21,82.95,GEN,Kongu
Singanallur,121,K.S.SRI GIRI PRASATH,TVK,84163,81.9,GEN,Kongu
Singanallur,121,V.SRINIDHI,INC,65024,81.9,GEN,Kongu
Singanallur,121,K.R.JAYARAM,AIADMK,57783,81.9,GEN,Kongu
Singanallur,121,NEHRUJI GUNASEKARAN,NTK,9203,81.9,GEN,Kongu
Singanallur,121,NOTA,NOTA,1346,81.9,GEN,Kongu
Singanallur,121,SIVAJI PERUMAL,Bahujan Samaj Party,428,81.9,GEN,Kongu
Singanallur,121,N.R.APPATHURAI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,318,81.9,GEN,Kongu
Singanallur,121,THAHIR HUSSAIN,IND,278,81.9,GEN,Kongu
Singanallur,121,AKBAR ALI,IND,255,81.9,GEN,Kongu
Singanallur,121,MURUGAN.O,Ganasangam Party of India,228,81.9,GEN,Kongu
Singanallur,121,S.S.SUNDHARAM,Rashtriya Samaj Dal (R),201,81.9,GEN,Kongu
Singanallur,121,P.TAMILSELVI,IND,174,81.9,GEN,Kongu
Singanallur,121,JANANI.D,IND,168,81.9,GEN,Kongu
Singanallur,121,S.SATHEESH,IND,160,81.9,GEN,Kongu
Singanallur,121,SARVESWARAN,Party for the Rights of Other backward Classes,151,81.9,GEN,Kongu
Singanallur,121,N.RAJASEKARAN,IND,130,81.9,GEN,Kongu
Singanallur,121,K.KUMAR BABU,IND,127,81.9,GEN,Kongu
Singanallur,121,UMA PARAMASIVAM,IND,115,81.9,GEN,Kongu
Singanallur,121,RAJKUMAR.M,IND,111,81.9,GEN,Kongu
Singanallur,121,SUBARAMANIAN.N,IND,102,81.9,GEN,Kongu
Singanallur,121,V.BALAMURUGAN,IND,91,81.9,GEN,Kongu
Singanallur,121,M.ASHOK KUMAR,IND,82,81.9,GEN,Kongu
Singanallur,121,VIJAYAKUMAR,IND,66,81.9,GEN,Kongu
Singanallur,121,DR.K.RAJKUMAR,IND,65,81.9,GEN,Kongu
Singanallur,121,VASANTHI,IND,59,81.9,GEN,Kongu
Singanallur,121,KARTHIK,IND,54,81.9,GEN,Kongu
Singanallur,121,R.MANIKANDABRABHU,IND,53,81.9,GEN,Kongu
Singanallur,121,AYOOB RIYAS,IND,50,81.9,GEN,Kongu
Singanallur,121,A.MOUNAKUMAR,IND,48,81.9,GEN,Kongu
Kinathukadavu,122,VIGNESH K,TVK,99950,87.75,GEN,Kongu
Kinathukadavu,122,SABARI KARTHIKEYAN K.V.K.S,DMK,88240,87.75,GEN,Kongu
Kinathukadavu,122,DAMODARAN S,AIADMK,67789,87.75,GEN,Kongu
Kinathukadavu,122,BANUPRIYA M,NTK,9667,87.75,GEN,Kongu
Kinathukadavu,122,NOTA,NOTA,1717,87.75,GEN,Kongu
Kinathukadavu,122,MARIYAPPAN R,Ganasangam Party of India,554,87.75,GEN,Kongu
Pollachi,123,K. NITHYANANDHAN,DMK,62013,88.9,GEN,Kongu
Pollachi,123,POLLACHI V. JAYARAMAN,AIADMK,57386,88.9,GEN,Kongu
Pollachi,123,G. RAMANATHAN,TVK,53819,88.9,GEN,Kongu
Pollachi,123,N. SENTHIL KUMAR,NTK,4866,88.9,GEN,Kongu
Pollachi,123,NOTA,NOTA,849,88.9,GEN,Kongu
Pollachi,123,M. JAYARAM,IND,596,88.9,GEN,Kongu
Pollachi,123,C.M. ARUCHAMY,Bahujan Samaj Party,329,88.9,GEN,Kongu
Pollachi,123,S. JEYARAM,IND,323,88.9,GEN,Kongu
Pollachi,123,M. JAYARAMAN,IND,269,88.9,GEN,Kongu
Pollachi,123,M. JAYAPRATHAP,IND,227,88.9,GEN,Kongu
Pollachi,123,V. KARTHIKEYAN,IND,192,88.9,GEN,Kongu
Pollachi,123,T. NITHYANANTHAM,IND,126,88.9,GEN,Kongu
Pollachi,123,K. NITHYANANDAN,IND,114,88.9,GEN,Kongu
Pollachi,123,P. NAGARAJ,IND,87,88.9,GEN,Kongu
Valparai,124,KUTTY (ALIAS) SUDHAKAR. A,DMK,54671,86.68,SC,Kongu
Valparai,124,DR. SRIDHARAN. A,TVK,45300,86.68,SC,Kongu
Valparai,124,LEKSHMANA SINGH. D,AIADMK,43728,86.68,SC,Kongu
Valparai,124,UMADEVI. P,NTK,5256,86.68,SC,Kongu
Valparai,124,NOTA,NOTA,675,86.68,SC,Kongu
Valparai,124,PERUMAL. K,IND,479,86.68,SC,Kongu
Valparai,124,LAKSHMI. N,IND,322,86.68,SC,Kongu
Udumalaipettai,125,JAYAKUMAR M.,DMK,68549,88.28,GEN,Kongu
Udumalaipettai,125,RADHAKRISHNAN K.,AIADMK,65667,88.28,GEN,Kongu
Udumalaipettai,125,SANKAR K.,TVK,59831,88.28,GEN,Kongu
Udumalaipettai,125,RAM KUMAR M.,NTK,6702,88.28,GEN,Kongu
Udumalaipettai,125,NOTA,NOTA,1149,88.28,GEN,Kongu
